k	L	method	density	density_std	runtime	runtime_std		
100	300	double	0.00821136	1.25183E-05	15.2805	0.00823711	0	0
100	310	random	0.00946185	6.93719E-05	0.3255	0.00276586	0	0
100	310	decycling	0.0079025	6.16816E-06	11.6431	0.0408545	0	0
100	310	double	0.00788887	5.77676E-06	15.3275	0.0737811	0	0
100	320	random	0.0090722	8.03039E-05	0.3289	0.00301496	0	0
100	320	decycling	0.00759865	4.91975E-06	11.6018	0.00222711	0	0
100	320	double	0.00758551	4.29121E-06	15.2699	0.00750267	0	0
100	330	random	0.00871904	0.000267408	0.326	0.00279285	0	0
100	330	decycling	0.00732221	4.3383E-06	11.6576	0.0667865	0	0
100	330	double	0.00731896	5.64741E-06	15.2935	0.0430262	0	0
100	340	random	0.0083061	9.37375E-05	0.3251	0.00410974	0	0
100	340	decycling	0.00705681	1.02498E-05	11.6241	0.00872296	0	0
100	340	double	0.00705786	5.79817E-06	15.2785	0.0209344	0	0
100	350	random	0.00800817	0.000175261	0.3252	0.00515364	0	0
100	350	decycling	0.00682109	1.02098E-05	11.6199	0.0518969	0	0
100	350	double	0.00681544	9.24317E-06	15.4876	0.442207	0	0
100	360	random	0.00767767	0.000073904	0.324	0.00328634	0	0
100	360	decycling	0.00659855	4.63972E-06	11.6747	0.249371	0	0
100	360	double	0.00659684	7.46605E-06	15.3498	0.234948	0	0
100	370	random	0.00736578	6.54521E-05	0.3246	0.00297321	0	0
100	370	decycling	0.00638928	6.66562E-06	11.646	0.111315	0	0
100	370	double	0.00638497	0.000008436	15.4245	0.325319	0	0
100	380	random	0.00717376	0.000112712	0.3226	0.00508331	0	0
100	380	decycling	0.00619373	5.39036E-06	11.669	0.053083	0	0
100	380	double	0.0061948	6.19625E-06	15.2549	0.0318071	0	0
100	390	random	0.00692591	0.000219137	0.3247	0.00603407	0	0
100	390	decycling	0.006001	7.70558E-06	11.8864	0.00332265	0	0
100	390	double	0.0060014	4.74463E-06	15.3363	0.118807	0	0
100	400	random	0.00670114	0.000104138	0.3244	0.00456508	0	0
100	400	decycling	0.00582648	6.6535E-06	11.6441	0.0302074	0	0
100	400	double	0.00582104	4.60172E-06	15.2995	0.0773101	0	0
100	410	random	0.00642482	4.09907E-05	0.3207	0.0039	0	0
100	410	decycling	0.00565049	6.95293E-06	11.6151	0.0127	0	0
100	410	double	0.00565602	4.44143E-06	15.2977	0.052917	0	0
100	420	random	0.00623888	5.34709E-05	0.3225	0.00287228	0	0
100	420	decycling	0.0054993	4.47073E-06	11.6729	0.257769	0	0
100	420	double	0.00550219	1.06713E-05	15.4503	0.478935	0	0
100	430	random	0.00608321	5.85145E-05	0.3237	0.00494065	0	0
100	430	decycling	0.00535822	7.77653E-06	11.6382	0.127183	0	0
100	430	double	0.00536439	0.000007317	15.2786	0.0334431	0	0
100	440	random	0.00588654	5.64574E-05	0.3225	0.00422493	0	0
100	440	decycling	0.00522336	7.59208E-06	11.6655	0.182544	0	0
100	440	double	0.005221	4.47215E-06	15.2461	0.00740878	0	0
100	450	random	0.00579335	0.000165516	0.3249	0.00465725	0	0
100	450	decycling	0.00508326	8.91834E-06	11.616	0.0354288	0	0
100	450	double	0.00509284	7.88683E-06	15.4313	0.328378	0	0
100	460	random	0.00558046	4.13732E-05	0.3209	0.00378021	0	0
100	460	decycling	0.00496417	6.79371E-06	11.6123	0.0136898	0	0
100	460	double	0.00496485	7.80117E-06	15.2618	0.0318773	0	0
100	470	random	0.00548327	0.000195243	0.3272	0.0036	0	0
100	470	decycling	0.0048418	8.91406E-06	11.5908	0.0154842	0	0
100	470	double	0.00484199	1.29692E-05	15.2713	0.00952943	0	0
100	480	random	0.0052603	3.96924E-05	0.3194	0.00363868	0	0
100	480	decycling	0.00472401	1.02635E-05	11.6221	0.0520162	0	0
100	480	double	0.00472582	8.88309E-06	15.2659	0.00703491	0	0
100	490	random	0.00514893	5.89699E-05	0.3183	0.00440568	0	0
100	490	decycling	0.00462588	5.7322E-06	11.5891	0.010387	0	0
100	490	double	0.00461675	9.19045E-06	15.2802	0.0477971	0	0
100	500	random	0.00501413	5.72019E-05	0.3201	0.00396106	0	0
100	500	decycling	0.00451766	1.24515E-05	11.6321	0.0243165	0	0
